num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S004480;15/01/2025;10:11:00;CALL. CEBREROS, 56;56;10;LATINA;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;436561;4472928;N;
2025S004533;15/01/2025;15:30:00;CALL. LOS YEBENES / CALL. VALMOJADO;6;10;LATINA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;435791;4472208;N;
2025S004585;15/01/2025;16:30:00;PASEO. MORET, 3;3;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;;;438702;4476140;N;
2025S004604;15/01/2025;17:06:00;CALL. GAZTAMBIDE / CALL. RODRIGUEZ SAN PEDRO;13;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439294;4475939;N;
2025S005101;16/01/2025;11:35:00;CALL. RAMON GOMEZ DE LA SERNA, 42;42;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Mujer;2;Ingreso inferior o igual a 24 horas;438343;4481538;N;
2025S005115;16/01/2025;13:55:00;CALL. SANTA ENGRACIA, 111;111;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;440630;4476578;N;
2025S005653;17/01/2025;17:10:00;CALL. SELMA LAGERLOFF, 14;14;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;;;441578;4467296;N;
2025S005764;17/01/2025;20:30:00;CALL. SAMBARA, 59;59;15;CIUDAD LINEAL;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;444832;4476191;N;
2025S006016;18/01/2025;11:20:00;CALL. CERCETA, 1;1;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;2;Ingreso inferior o igual a 24 horas;434771;4477771;N;
2025S006140;18/01/2025;21:20:00;CALL. PRINCESA, 31;31;9;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;439392;4475517;N;
2025S006450;20/01/2025;6:55:00;GTA. SANTA MARIA DE LA CABEZA / PASEO. SANTA MARIA DE LA CABEZA;4;2;ARGANZUELA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440688;4472534;N;
2025S006511;19/01/2025;11:15:00;AVDA. CERRO MILANO / CALL. ANTONIO GADES;259;18;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;449007;4467690;N;
2025S006591;19/01/2025;22:00:00;CALL. GENOVA, 26;26;1;CENTRO;Alcance;Se desconoce;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441284;4475255;N;
2025S006731;20/01/2025;22:50:00;CALL. IRUN, 7;7;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;2;Ingreso inferior o igual a 24 horas;439245;4474912;N;
2025S006781;19/01/2025;12:05:00;AVDA. MONASTERIO DE EL ESCORIAL / AVDA. MONASTERIO DE SILOS;2;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;439574;4483894;N;
2025S006950;21/01/2025;16:30:00;CALL. LAGARTERA / IDB. LA MANCHA;1;13;PUENTE DE VALLECAS;Atropello a persona;Lluvia débil;Bicicleta;Conductor;Desconocido;Desconocido;;;443039;4470164;N;
2025S006950;21/01/2025;16:30:00;CALL. LAGARTERA / IDB. LA MANCHA;1;13;PUENTE DE VALLECAS;Atropello a persona;Lluvia débil;Bicicleta;Peatón;Menor de 5 años;Hombre;;;443039;4470164;N;
2025S007036;21/01/2025;23:31:00;PARKING PLAZA DE CANALEJAS;7;1;CENTRO;Caída;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440581;4474266;N;
2025S007237;22/01/2025;16:20:00;PASEO. PONTONES, 31;31;2;ARGANZUELA;Atropello a persona;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;2;Ingreso inferior o igual a 24 horas;439129;4472870;N;
2025S007237;22/01/2025;16:20:00;PASEO. PONTONES, 31;31;2;ARGANZUELA;Atropello a persona;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Peatón;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;439129;4472870;N;
2025S007282;22/01/2025;17:05:00;GTA. PATINES / PASEO. PUERTA DEL ANGEL;0;9;MONCLOA-ARAVACA;Caída;LLuvia intensa;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437688;4474345;N;
2025S007345;22/01/2025;22:20:00;CALL. ALFONSO XII / CALL. FELIPE IV;26;3;RETIRO;Colisión fronto-lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Mujer;1;Atención en urgencias sin posterior ingreso;441544;4474105;N;
2025S007399;23/01/2025;9:45:00;CALL. SERRANO / CALL. VILLANUEVA;14;4;SALAMANCA;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;441616;4474881;N;
2025S007481;22/01/2025;15:10:00;CMNO. VALDERRIBAS, 79;79;13;PUENTE DE VALLECAS;Caída;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443819;4472306;N;
2025S007515;22/01/2025;21:30:00;GTA. PUENTE DE SEGOVIA / PASEO. EXTREMADURA;1;10;LATINA;Caída;LLuvia intensa;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;438593;4473953;N;
2025S007774;23/01/2025;22:50:00;GTA. SAN ANTONIO DE LA FLORIDA, 1;1;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438401;4475223;N;
2025S007860;24/01/2025;12:20:00;CALL. LOPEZ DE ARANDA, 2;2;15;CIUDAD LINEAL;Caída;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Mujer;1;Atención en urgencias sin posterior ingreso;445701;4476988;N;
2025S008064;24/01/2025;18:30:00;CALL. MONASTERIO DE OSEIRA, 25;25;8;FUENCARRAL-EL PARDO;Otro;Nublado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441105;4484887;N;
2025S008977;26/01/2025;0:30:00;CALL. ALCALA, 85;85;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441837;4474685;N;
2025S009248;26/01/2025;14:20:00;CALL. VIRGEN DE LLUC / CALL. BUEN GOBERNADOR;12;15;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;444462;4476187;N;
2025S009283;27/01/2025;8:58:00;CALL. ALICANTE, 5;5;2;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;441180;4471738;N;
2025S009334;27/01/2025;11:15:00;PASEO. MORET / CALL. FERRAZ;3;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438796;4476174;N;
2025S009344;27/01/2025;14:40:00;CALL. ARIEL, 7;7;2;ARGANZUELA;Caída;Nublado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442339;4471602;N;
2025S009387;28/01/2025;0:25:00;CENTRO COMERCIAL PARQUE DE LAS NACIONES;2;16;HORTALEZA;Caída;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;3;Ingreso superior a 24 horas;447757;4478661;N;
2025S009597;27/01/2025;20:50:00;CALL. JAIME EL CONQUISTADOR / CALL. EUGENIO SELLES;23;2;ARGANZUELA;Colisión fronto-lateral;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;440744;4471922;N;
2025S010364;29/01/2025;16:30:00;CALL. LOPEZ DE ARANDA / CALL. ARTURO SORIA;2;15;CIUDAD LINEAL;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;445691;4476984;N;
2025S010509;30/01/2025;0:15:00;CALLE SÁNCHEZ BUSTILLO 7;1;1;CENTRO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441179;4473355;N;
2025S010782;30/01/2025;15:10:00;PTA. ANGEL CAIDO, 0;0;3;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441589;4473467;N;
2025S011215;31/01/2025;9:00:00;CALL. GENERAL RICARDOS, 161;161;11;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;;;437768;4471022;N;
2025S011215;31/01/2025;9:00:00;CALL. GENERAL RICARDOS, 161;161;11;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Peatón;De 70 a 74 años;Mujer;2;Ingreso inferior o igual a 24 horas;437768;4471022;N;
2025S011251;31/01/2025;13:20:00;CALL. ALBERTO AGUILERA, 46;46;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439583;4475761;N;
2025S011406;31/01/2025;18:15:00;CALL. JACOMETREZO, 1;1;1;CENTRO;Colisión lateral;Se desconoce;Bicicleta;Conductor;De 25 a 29 años;Hombre;;;440083;4474641;N;
2025S011444;31/01/2025;17:50:00;GTA. SIERRA PARAMERA, 0;0;9;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;433395;4478205;N;
2025S011739;01/02/2025;17:50:00;CALL. ALCALA / CALL. AYALA;183;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;443078;4475372;N;
2025S011767;01/02/2025;15:45:00;CALL. CARAMUEL / CALL. SEPULVEDA;1;10;LATINA;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;1;Atención en urgencias sin posterior ingreso;438035;4473132;N;
2025S011996;02/02/2025;14:00:00;AVDA. RAFAELA YBARRA / CALL. SIMCA;129;12;USERA;Colisión lateral;Nublado;Bicicleta;Conductor;De 40 a 44 años;Hombre;;;439531;4468678;N;
2025S012202;02/02/2025;13:35:00;CALL. ATOCHA, 27;27;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;;;440388;4473935;N;
2025S012227;03/02/2025;10:35:00;CTRA. CIUDAD UNIVERSITARIA, 0;0;9;MONCLOA-ARAVACA;Atropello a animal;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;435234;4477536;N;
2025S012244;03/02/2025;12:30:00;AVDA. MENENDEZ PELAYO, 47;47;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;Más de 74 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442455;4474224;N;
2025S012336;03/02/2025;14:50:00;CALL. HERMANOS GARCIA NOBLEJAS, 53;53;20;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446417;4475617;N;
2025S012336;03/02/2025;14:50:00;CALL. HERMANOS GARCIA NOBLEJAS, 53;53;20;SAN BLAS-CANILLEJAS;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;De 6 a 9 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;446417;4475617;N;
2025S012549;03/02/2025;16:20:00;CALL. PEGUERINOS, 16;16;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;437658;4480209;N;
2025S012927;04/02/2025;15:25:00;PASEO. CASTELLANA, 67;67;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;441361;4477414;N;
2025S013002;04/02/2025;18:15:00;CALL. SIERRA DE GUADALUPE, 23;23;18;VILLA DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;;;447001;4470341;N;
2025S013965;06/02/2025;9:30:00;AVDA. MANZANARES, 36;36;10;LATINA;Atropello a animal;Despejado;Bicicleta;Conductor;De 45 a 49 años;Mujer;2;Ingreso inferior o igual a 24 horas;438652;4473097;N;
2025S014128;06/02/2025;14:55:00;CALL. PUERTO DE BEJAR / CALL. PUERTO DE LA CRUZ VERDE;12;2;ARGANZUELA;Colisión frontal;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441634;4471025;N;
2025S014624;07/02/2025;13:15:00;CALL. HORTALEZA / CALL. MEJIA LEQUERICA;17;1;CENTRO;Atropello a persona;LLuvia intensa;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;440853;4475259;N;
2025S014624;07/02/2025;13:15:00;CALL. HORTALEZA / CALL. MEJIA LEQUERICA;17;1;CENTRO;Atropello a persona;LLuvia intensa;Bicicleta;Peatón;Más de 74 años;Hombre;2;Ingreso inferior o igual a 24 horas;440853;4475259;N;
2025S014741;07/02/2025;15:04:00;CALL. FROMISTA / CTRA. FUENCARRAL A HORTALEZA;1;8;FUENCARRAL-EL PARDO;Caída;Lluvia débil;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;442344;4484412;N;
2025S014852;07/02/2025;21:45:00;CALL. TOLEDO, 40;40;1;CENTRO;Caída;LLuvia intensa;Bicicleta;Conductor;De 30 a 34 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;439957;4473783;N;
2025S014887;07/02/2025;23:20:00;CALL. SAGASTA, 6;6;1;CENTRO;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440519;4475581;N;
2025S014902;08/02/2025;1:15:00;CALL. SERRANO, 93;93;4;SALAMANCA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;2;Ingreso inferior o igual a 24 horas;441797;4476518;N;
2025S015144;08/02/2025;8:05:00;PLAZA. LAVAPIES / CALL. TRIBULETE;1;1;CENTRO;Colisión lateral;Nublado;Bicicleta;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440476;4473387;N;
2025S015181;08/02/2025;14:25:00;AVDA. LOS ROSALES, 137;137;17;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442693;4466647;N;
2025S015215;08/02/2025;18:25:00;CALL. ALCALA / CALL. PEDRO MUÑOZ SECA;61;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Mujer;1;Atención en urgencias sin posterior ingreso;441374;4474578;N;
2025S015514;09/02/2025;20:20:00;CALL. BRAVO MURILLO / CALL. MARQUES DE VIANA;193;6;TETUÁN;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;440790;4479132;N;
2025S015613;10/02/2025;9:35:00;CALL. VALMOJADO, 53;53;10;LATINA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;435722;4472040;N;
2025S015697;09/02/2025;21:15:00;CALL. EMBAJADORES, 120;120;2;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440705;4472372;N;
2025S015741;10/02/2025;15:35:00;PASEO. ESPERANZA / CALL. MAJUELO;4;2;ARGANZUELA;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 15 a 17 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440080;4472764;N;
2025S016080;11/02/2025;9:25:00;CALL. ALCALDE SAINZ DE BARANDA, 92;92;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443891;4474726;N;
2025S016150;11/02/2025;13:30:00;CALL. BRAVO MURILLO, 46;46;7;CHAMBERÍ;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;440289;4477094;N;
2025S016390;11/02/2025;19:20:00;CALL. PRECIADOS, 37;37;1;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439968;4474589;N;
2025S016577;11/02/2025;13:30:00;PQUE. CASA DE CAMPO / PNTE. CASTILLA;0;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;437064;4477496;N;
2025S016594;12/02/2025;8:45:00;CALL. ARCOS DE JALON / CALL. POBLADURA DEL VALLE;59;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;448061;4475411;N;
2025S016821;12/02/2025;18:55:00;CALL. VIA DE DUBLIN / GTA. HAMBURGO;11;21;BARAJAS;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448143;4479566;N;
2025S017041;13/02/2025;5:45:00;AVDA. PORTUGAL / PASEO. PUERTA DEL ANGEL;81;10;LATINA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;438073;4474033;N;
2025S017396;13/02/2025;18:30:00;CALL. SAN PATRICIO, 2;2;11;CARABANCHEL;Colisión fronto-lateral;;Bicicleta;Conductor;De 21 a 24 años;Hombre;;;438424;4471516;N;
2025S017736;14/02/2025;15:30:00;CALL. TORQUEMADA / CALL. VALDESPINA;5;16;HORTALEZA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;;;445689;4479718;N;
2025S017881;14/02/2025;19:30:00;CALL. LA RIOJA / CALL. PINOS DE OSUNA;1;21;BARAJAS;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;449682;4478303;N;
2025S017942;14/02/2025;21:50:00;CALL. ELOY GONZALO / CALL. GENERAL ALVAREZ DE CASTRO;22;7;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;440501;4476199;N;
